                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9785,                 18.798,                 3.2071,                0.01418,                0.16063,                0.01271,                0.01023,                 2.3264,                 9.6808,                 2.2251,               0.095005,                  5e-06,                  5e-06
                      2,                 3.0782,                  13.12,                 2.7596,                0.10739,                0.03333,                0.00515,                0.00322,                 2.8913,                 9.3767,                 2.5746,               0.089011,             1.0782e-05,             1.0782e-05
                      3,                 2.1297,                 7.7119,                 2.2328,                0.00369,                0.08333,                 0.0027,                0.00178,                 2.4992,                 11.585,                 2.2772,               0.083016,             1.6327e-05,             1.6327e-05
                      4,                 2.1161,                 6.1175,                 2.1697,                0.11381,                0.02619,                 0.0054,                 0.0041,                 2.3492,                 9.3616,                 2.2515,               0.077022,             2.1634e-05,             2.1634e-05
                      5,                 1.8427,                 5.3229,                 2.0485,                0.51749,                0.02857,                0.01937,                0.01218,                 2.0264,                 8.1523,                 2.1236,               0.071027,             2.6703e-05,             2.6703e-05
                      6,                 1.7946,                 5.1355,                 2.0341,                0.62706,                0.02661,                0.02958,                0.01831,                 2.0221,                 7.8307,                 2.0831,               0.065032,             3.1535e-05,             3.1535e-05
                      7,                 1.7472,                 4.5273,                 1.9617,                0.05208,                 0.1844,                0.05203,                0.03742,                 2.0631,                 7.4778,                 2.0955,               0.059036,             3.6129e-05,             3.6129e-05
                      8,                 1.7875,                 4.2567,                 2.0143,                0.04629,                0.31491,                0.06997,                0.05399,                 1.8669,                 6.9386,                 1.9895,                0.05304,             4.0486e-05,             4.0486e-05
                      9,                 1.6779,                  3.892,                 1.9356,                0.27221,                 0.2002,                0.19772,                0.16447,                 1.6663,                 5.3995,                 1.9052,               0.047045,             4.4605e-05,             4.4605e-05
                     10,                 1.6426,                 3.5741,                 1.9545,                0.26723,                0.22257,                0.21043,                0.18013,                 1.6203,                 4.5708,                 1.8661,               0.041048,             4.8486e-05,             4.8486e-05
                     11,                 1.6455,                 3.6792,                 1.9142,                0.34807,                0.32995,                0.27133,                0.23286,                 1.6298,                 4.0092,                 1.8554,               0.035052,              5.213e-05,              5.213e-05
                     12,                 1.4846,                 4.4852,                  2.016,                0.26327,                0.32639,                0.30535,                0.26276,                 1.6243,                 3.7016,                 1.8572,               0.029056,             5.5536e-05,             5.5536e-05
                     13,                 1.5484,                 3.2451,                 1.8654,                 0.2656,                0.40346,                0.29905,                0.25754,                 1.6031,                 3.2722,                 1.8535,               0.023059,             5.8705e-05,             5.8705e-05
                     14,                 1.3902,                 3.0151,                 1.8824,                0.36396,                 0.3842,                0.31342,                0.27123,                 1.5478,                 2.8283,                 1.8171,               0.017062,             6.1636e-05,             6.1636e-05
                     15,                 1.6223,                 3.3036,                 1.9022,                0.40863,                0.32319,                 0.3511,                0.30678,                 1.5065,                 2.6284,                 1.7981,               0.011064,             6.4329e-05,             6.4329e-05
                     16,                 1.5203,                 2.9664,                 1.8638,                0.45707,                 0.3474,                0.39274,                0.34391,                 1.4398,                 2.3792,                 1.7758,              0.0050668,             6.6785e-05,             6.6785e-05
                     17,                 1.3939,                 2.4818,                 1.8349,                0.41856,                0.40359,                0.41894,                0.36273,                 1.4257,                 2.3052,                  1.776,              6.832e-05,              6.832e-05,              6.832e-05
